area_name,population_2023,assault_rate_2023,autotheft_rate_2023,biketheft_rate_2023,breakenter_rate_2023,homicide_rate_2023,robbery_rate_2023,shooting_rate_2023,theftfrommv_rate_2023,theftover_rate_2023,avg_crime_rates
South Eglinton-Davisville,21987,0.4593623657,0.09551098632999999,0.16828125,0.19557011410000003,NA,0.01364442635,NA,0.1819256897,0.036385135650000004,0.12785332975888888
North Toronto,15077,0.6964249878000001,0.119387146,0.14591761779999998,0.2056111908,NA,0.09285666656,NA,0.2719373779,0.04642833328,0.17539592446
Dovercourt Village,13837,0.7516080322,0.2023560028,0.27462600709999996,0.3324420166,NA,0.1517669983,0.007227000237,0.17344799800000002,0.02168099976,0.21279500611077778
Junction-Wallace Emerson,26240,0.8727134399,0.12957316589999998,0.209603653,0.3125,NA,0.0685975647,0.007621951103,0.2172256165,0.03429878235,0.20579268593922223
Yonge-Bay Corridor,14731,3.686104248,0.3122666626,1.54775647,0.7331477661,0.006788405418,0.420881134,0.01357681084,0.5159188232,0.3462086792,0.8425165554842222
Bay-Cloverhill,19055,0.7452112426999999,0.08921543121,0.2938861084,0.320125946,NA,0.10495932770000001,0.00524796629,0.20991865540000001,0.06822356415,0.20408758242777778
Bendale-Glen Andrew,20773,1.140904053,0.6932075195,0.04813941193,0.1396042938,NA,0.26476675419999995,0.004813941002,0.36585952759999996,0.09627882385,0.3059527027646667
Downsview,17003,1.2233134769999998,0.5587249146000001,0.047050521850000006,0.4352173157,NA,0.1646768188,0.01764394569,0.4116920471,0.09998235321,0.3287001548833333
Oakdale-Beverley Heights,21503,2.078779785,0.7487327271,0.055806167600000005,0.4138957214,0.004650513649,0.1395154114,0.027903083800000002,0.33948751829999996,0.1069618225,0.43508141674988887
Avondale,16149,0.3096166992,0.1548083496,0.05573100662,0.1176543427,NA,0.03715400314,0.006192333697999999,0.3963093567,0.030961669919999997,0.12315864017533334
East Willowdale,18285,0.2625102539,0.47033087160000003,0.05468963623,0.3992343445,NA,0.09297238159,0.005468963623,0.41017227170000004,0.07656549072,0.19688269042922224
Yonge-Doris,23234,0.447619873,0.2022897491,0.07316863251,0.06886459351,0.004304037094,0.06025651932,NA,0.6154772948999999,0.07747267151,0.17216148566044442
Fenside-Parkwoods,22909,0.5674625853999999,0.1746038666,0.030555677410000003,0.08730193329,0.0043650965690000005,0.061111354830000006,0.0043650965690000005,0.16587367249999999,0.030555677410000003,0.12513277339755555
Parkwoods-O'Connor Hills,14788,0.6491749878,0.3719231873,0.013524478909999998,0.2366783905,NA,0.040573436739999996,0.013524478909999998,0.1825804749,0.0473356781,0.1728127903511111
East L'Amoreaux,23988,0.3460063477,0.22094380190000001,0.029181257250000002,0.10838752750000001,NA,0.04168751144,0.01667500496,0.1667500458,0.02501250648,0.10607155589222222
L'Amoreaux West,24374,0.4841224365,0.2584721375,0.032821857450000005,0.1107737732,0.004102732182,0.07795191956,0.004102732182,0.1928284302,0.004102732182,0.12991986121733332
Malvern East,28098,0.5160509644,0.2277742157,0.02135383224,0.1174460831,NA,0.07117944336,0.01067691612,0.1886255188,NA,0.12812299708
Malvern West,19412,0.4790851135,0.283329895,0.01030290508,0.08242324066000001,NA,0.07212033844,0.015454358100000001,0.2421182709,0.01030290508,0.13279300297333332
Morningside Heights,28167,0.4224801941,0.5431888428,0.003550253868,0.1171583786,NA,0.08165583801,0.02840203094,0.2485177765,0.05680406189,0.16686193074533331
West Rouge,22396,0.3125558167,0.44204321290000004,0.017860332490000002,0.11609216309999999,0.004465083122,0.09823182678,0.01339524937,0.20985890200000001,0.017860332490000002,0.1369292132168889
Woburn North,29500,0.6305084839,0.34915255739999995,0.044067794800000004,0.1491525421,0.006779661179,0.07457627105999999,0.013559322359999999,0.3118644104,0.030508474350000002,0.17890772417211112
Golfdale-Cedarbrae-Woburn,28651,0.6736239624,0.2722418213,0.0279222374,0.08376670837,0.003490279675,0.1116889496,0.01047083855,0.26526126099999997,0.03141251564,0.16443095265944443
